2000 	40 	40
2001 	41 	41
2002 	42 	42
2003 	43 	43
2004 	44 	44
2005 	45 	43
2006 	46 	44
2007 	47 	45
2008 	48 	46
2009 	49 	47
2010 	41 	41
2011 	42 	42
2012 	43 	43
2013 	44 	44
2014 	45 	45
2015 	46 	44
2016 	47 	45
2017 	48 	46
2018 	49 	47
2019 	50 	48
2020 	42 	42
2021 	43 	43
2022 	44 	44
2023 	45 	45
2024 	46 	46
2025 	41 	41
2026 	42 	42
2027 	43 	43
2028 	44 	44
2029 	45 	45
2030 	46 	43
2031 	47 	44
2032 	48 	45
2033 	49 	46
2034 	50 	47
2035 	42 	42
2036 	43 	43
2037 	44 	44
2038 	45 	45
2039 	46 	46
2040 	47 	44
2041 	48 	45
2042 	49 	46
2043 	50 	47
2044 	51 	48
2045 	43 	43
2046 	44 	44
2047 	45 	45
2048 	46 	46
2049 	47 	47
2050 	41 	41
2051 	42 	42
2052 	43 	43
2053 	44 	44
2054 	45 	45
2055 	46 	44
2056 	47 	45
2057 	48 	46
2058 	49 	47
2059 	50 	48
2060 	42 	42
2061 	43 	43
2062 	44 	44
2063 	45 	45
2064 	46 	46
2065 	47 	45
2066 	48 	46
2067 	49 	47
2068 	50 	48
2069 	51 	49
2070 	43 	43
2071 	44 	44
2072 	45 	45
2073 	46 	46
2074 	47 	47
2075 	42 	42
2076 	43 	43
2077 	44 	44
2078 	45 	45
2079 	46 	46
2080 	47 	44
2081 	48 	45
2082 	49 	46
2083 	50 	47
2084 	51 	48
2085 	43 	43
2086 	44 	44
2087 	45 	45
2088 	46 	46
2089 	47 	47
2090 	48 	45
2091 	49 	46
2092 	50 	47
2093 	51 	48
2094 	52 	49
2095 	44 	44
2096 	45 	45
2097 	46 	46
2098 	47 	47
2099 	48 	48
2100 	42 	42
2101 	43 	43
2102 	44 	44
2103 	45 	45
2104 	46 	46
2105 	47 	45
2106 	48 	46
2107 	49 	47
2108 	50 	48
2109 	51 	49
2110 	43 	43
2111 	44 	44
2112 	45 	45
2113 	46 	46
2114 	47 	47
2115 	48 	46
2116 	49 	47
2117 	50 	48
2118 	51 	49
2119 	52 	50
2120 	44 	44
2121 	45 	45
2122 	46 	46
2123 	47 	47
2124 	48 	48
2125 	43 	43
2126 	44 	44
2127 	45 	45
2128 	46 	46
2129 	47 	47
2130 	48 	45
2131 	49 	46
2132 	50 	47
2133 	51 	48
2134 	52 	49
2135 	44 	44
2136 	45 	45
2137 	46 	46
2138 	47 	47
2139 	48 	48
2140 	49 	46
2141 	50 	47
2142 	51 	48
2143 	52 	49
2144 	53 	50
2145 	45 	45
2146 	46 	46
2147 	47 	47
2148 	48 	48
2149 	49 	49
2150 	43 	43
2151 	44 	44
2152 	45 	45
2153 	46 	46
2154 	47 	47
2155 	48 	46
2156 	49 	47
2157 	50 	48
2158 	51 	49
2159 	52 	50
2160 	44 	44
2161 	45 	45
2162 	46 	46
2163 	47 	47
2164 	48 	48
2165 	49 	47
2166 	50 	48
2167 	51 	49
2168 	52 	50
2169 	53 	51
2170 	45 	45
2171 	46 	46
2172 	47 	47
2173 	48 	48
2174 	49 	49
2175 	44 	44
2176 	45 	45
2177 	46 	46
2178 	47 	47
2179 	48 	48
2180 	49 	46
2181 	50 	47
2182 	51 	48
2183 	52 	49
2184 	53 	50
2185 	45 	45
2186 	46 	46
2187 	47 	47
2188 	48 	48
2189 	49 	49
2190 	50 	47
2191 	51 	48
2192 	52 	49
2193 	53 	50
2194 	54 	51
2195 	46 	46
2196 	47 	47
2197 	48 	48
2198 	49 	49
2199 	50 	50
2200 	44 	44
2201 	45 	45
2202 	46 	46
2203 	47 	47
2204 	48 	48
2205 	49 	47
2206 	50 	48
2207 	51 	49
2208 	52 	50
2209 	53 	51
2210 	45 	45
2211 	46 	46
2212 	47 	47
2213 	48 	48
2214 	49 	49
2215 	50 	48
2216 	51 	49
2217 	52 	50
2218 	53 	51
2219 	54 	52
2220 	46 	46
2221 	47 	47
2222 	48 	48
2223 	49 	49
2224 	50 	50
2225 	45 	45
2226 	46 	46
2227 	47 	47
2228 	48 	48
2229 	49 	49
2230 	50 	47
2231 	51 	48
2232 	52 	49
2233 	53 	50
2234 	54 	51
2235 	46 	46
2236 	47 	47
2237 	48 	48
2238 	49 	49
2239 	50 	50
2240 	51 	48
2241 	52 	49
2242 	53 	50
2243 	54 	51
2244 	55 	52
2245 	47 	47
2246 	48 	48
2247 	49 	49
2248 	50 	50
2249 	51 	51
2250 	45 	45
2251 	46 	46
2252 	47 	47
2253 	48 	48
2254 	49 	49
2255 	50 	48
2256 	51 	49
2257 	52 	50
2258 	53 	51
2259 	54 	52
2260 	46 	46
2261 	47 	47
2262 	48 	48
2263 	49 	49
2264 	50 	50
2265 	51 	49
2266 	52 	50
2267 	53 	51
2268 	54 	52
2269 	55 	53
2270 	47 	47
2271 	48 	48
2272 	49 	49
2273 	50 	50
2274 	51 	51
2275 	46 	46
2276 	47 	47
2277 	48 	48
2278 	49 	49
2279 	50 	50
2280 	51 	48
2281 	52 	49
2282 	53 	50
2283 	54 	51
2284 	55 	52
2285 	47 	47
2286 	48 	48
2287 	49 	49
2288 	50 	50
2289 	51 	51
2290 	52 	49
2291 	53 	50
2292 	54 	51
2293 	55 	52
2294 	56 	53
2295 	48 	48
2296 	49 	49
2297 	50 	50
2298 	51 	51
2299 	52 	52
2300 	46 	46
